Browser,Event,Object Parameters,Chart,Status
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""caption"":""Sales Analysis of Shoe Brands"",""subcaption"":""Last Quarter"",""xAxisMinValue"":""0"",""xAxisMaxValue"":""100"",""yAxisMinValue"":""0"",""yAxisMaxValue"":""30000"",""plotFillAlpha"":""70"",""plotFillHoverColor"":""#6baa01"",""xAxisName"":""Average Price"",""yAxisName"":""Units Sold"",""numDivlines"":""2"",""showValues"":""1"",""plotTooltext"":""$name : Profit Contribution - $zvalue%"",""drawQuadrant"":""1"",""quadrantLineAlpha"":""80"",""quadrantLineThickness"":""3"",""quadrantXVal"":""50"",""quadrantYVal"":""15000"",""quadrantLabelTL"":""Low Price / High Sale"",""quadrantLabelTR"":""High Price / High Sale"",""quadrantLabelBL"":""Low Price / Low Sale"",""quadrantLabelBR"":""High Price / Low Sale"",""use3dlighting"":""0"",""showAlternateHGridColor"":""0"",""showAlternateVGridColor"":""0"",""theme"":""fusion"",""exportEnabled"":""1"",""exportFileName"":""DemoExport"",""bgImage"":""https://upload.wikimedia.org/wikipedia/commons/7/79/Misc_fruit.jpg""},""categories"":[{""category"":[{""label"":""$0"",""x"":""0""},{""label"":""$20"",""x"":""20"",""showverticalline"":""1""},{""label"":""$40"",""x"":""40"",""showverticalline"":""1""},{""label"":""$60"",""x"":""60"",""showverticalline"":""1""},{""label"":""$80"",""x"":""80"",""showverticalline"":""1""},{""label"":""$100"",""x"":""100"",""showverticalline"":""1""}]}],""dataset"":[{""color"":""#00aee4"",""data"":[{""x"":""80"",""y"":""15000"",""z"":""24"",""name"":""Nike""},{""x"":""60"",""y"":""18500"",""z"":""26"",""name"":""Adidas""},{""x"":""50"",""y"":""19450"",""z"":""19"",""name"":""Puma""},{""x"":""65"",""y"":""10500"",""z"":""8"",""name"":""Fila""},{""x"":""43"",""y"":""8750"",""z"":""5"",""name"":""Lotto""},{""x"":""32"",""y"":""22000"",""z"":""10"",""name"":""Reebok""},{""x"":""44"",""y"":""13000"",""z"":""9"",""name"":""Woodland""}]}],""trendlines"":[{""line"":[{""startValue"":""20000"",""endValue"":""30000"",""isTrendZone"":""1"",""color"":""#aaaaaa"",""alpha"":""14""},{""startValue"":""10000"",""endValue"":""20000"",""isTrendZone"":""1"",""color"":""#aaaaaa"",""alpha"":""7""}]}],""vTrendlines"":[{""line"":[{""startValue"":""44"",""isTrendZone"":""0"",""color"":""#0066cc"",""thickness"":""1"",""dashed"":""1"",""displayValue"":""Gross Avg.""}]}]}')",bubble,PASS
Chrome,beforeinitialize,"('height = ', u'600')",bubble,PASS
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",bubble,PASS
Chrome,beforeinitialize,"('type = ', u'bubble')",bubble,PASS
Chrome,beforeinitialize,"('width = ', u'800')",bubble,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",bubble,PASS
Chrome,beforerender,"('eventId = ', 103)",bubble,PASS
Chrome,beforerender,"('cancelled = ', False)",bubble,PASS
Chrome,beforerender,"('stopPropagation = ', {})",bubble,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",bubble,PASS
Chrome,beforerender,"('preventDefault = ', {})",bubble,PASS
Chrome,beforerender,"('detached = ', False)",bubble,PASS
Chrome,beforerender,"('detachHandler = ', {})",bubble,PASS
Chrome,beforerender,"('senderChartType = ', u'bubble')",bubble,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",bubble,PASS
Chrome,beforerender,"('height = ', u'600')",bubble,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",bubble,PASS
Chrome,beforerender,"('width = ', u'800')",bubble,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",bubble,PASS
Chrome,rendercomplete,"('eventId = ', 369)",bubble,PASS
Chrome,rendercomplete,"('cancelled = ', False)",bubble,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",bubble,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",bubble,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",bubble,PASS
Chrome,rendercomplete,"('detached = ', False)",bubble,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",bubble,PASS
Chrome,rendercomplete,"('senderChartType = ', u'bubble')",bubble,PASS
Chrome,rendercomplete,"('Container = ', 1)",bubble,PASS
Chrome,rendercomplete,"('height = ', 600)",bubble,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",bubble,PASS
Chrome,rendercomplete,"('width = ', 800)",bubble,PASS
Chrome,loaded,"('eventType = ', u'loaded')",bubble,PASS
Chrome,loaded,"('eventId = ', 96)",bubble,PASS
Chrome,loaded,"('cancelled = ', False)",bubble,PASS
Chrome,loaded,"('stopPropagation = ', {})",bubble,PASS
Chrome,loaded,"('defaultPrevented = ', False)",bubble,PASS
Chrome,loaded,"('preventDefault = ', {})",bubble,PASS
Chrome,loaded,"('detached = ', False)",bubble,PASS
Chrome,loaded,"('detachHandler = ', {})",bubble,PASS
Chrome,loaded,"('senderChartType = ', u'bubble')",bubble,PASS
Chrome,loaded,"('renderer = ', u'javascript')",bubble,PASS
Chrome,loaded,"('type = ', u'bubble')",bubble,PASS
Chrome,initialized,"('eventType = ', u'initialized')",bubble,PASS
Chrome,initialized,"('eventId = ', 100)",bubble,PASS
Chrome,initialized,"('cancelled = ', False)",bubble,PASS
Chrome,initialized,"('stopPropagation = ', {})",bubble,PASS
